Original Name,Cleaned Name,Normalized (OLD),Normalized (NEW),Match OLD,Match NEW,Type OLD,Type NEW,Matched OLD,Matched NEW,Improvement,Partial Match,Similarity Score,Partial Matched Name,Partial Match Type
Pooyan,Pooyan,pooyan,pooyan,1,1,main,main,Pooyan,Pooyan,SAME,0,,,
Pop Bingo,Pop Bingo,popbingo,pop bingo,1,1,main,main,Pop Bingo,Pop Bingo,SAME,0,,,
Pop Flamer (protected),Pop Flamer,popflamer,pop flamer,1,1,main,main,Pop Flamer,Pop Flamer,SAME,0,,,
Popeye (revision D),Popeye,popeye,popeye,0,0,,,,,SAME,0,,,
"Pop'n Music 1 (ver TA-A, HDD 1.01)",Pop'n Music 1,popnmusic1,pop n music 1,0,0,,,,,SAME,0,,,
Pop'n Music 2 (ver JA-A),Pop'n Music 2,popnmusic2,pop n music 2,1,1,main,main,Pop'n Music 2,Pop'n Music 2,SAME,0,,,
Pop'n Music 3 (ver JA-A),Pop'n Music 3,popnmusic3,pop n music 3,1,1,main,main,Pop'n Music 3,Pop'n Music 3,SAME,0,,,
Pop'n Music 4,Pop'n Music 4,popnmusic4,pop n music 4,1,1,main,main,Pop'n Music 4,Pop'n Music 4,SAME,0,,,
Pop'n Music 5,Pop'n Music 5,popnmusic5,pop n music 5,1,1,main,main,Pop'n Music 5,Pop'n Music 5,SAME,0,,,
Pop'n Music 6,Pop'n Music 6,popnmusic6,pop n music 6,1,1,main,main,Pop'n Music 6,Pop'n Music 6,SAME,0,,,
Pop'n Music 7,Pop'n Music 7,popnmusic7,pop n music 7,1,1,main,main,Pop'n Music 7,Pop'n Music 7,SAME,0,,,
Pop'n Music 8,Pop'n Music 8,popnmusic8,pop n music 8,1,1,main,main,Pop'n Music 8,Pop'n Music 8,SAME,0,,,
Pop'n Music Animelo,Pop'n Music Animelo,popnmusicanimelo,pop n music animelo,0,0,,,,,SAME,0,,,
Pop'n Music Animelo 2 (JAC),Pop'n Music Animelo 2,popnmusicanimelo2,pop n music animelo 2,1,1,main,main,Pop'n Music Animelo 2,Pop'n Music Animelo 2,SAME,0,,,
Pop'n Music Mickey Tunes,Pop'n Music Mickey Tunes,popnmusicmickeytunes,pop n music mickey tunes,0,0,,,,,SAME,0,,,
Pop'n Pop (Ver 2.07O 19980209),Pop'n Pop,popnpop,pop n pop,1,1,main,main,Pop'n Pop,Pop'n Pop,SAME,0,,,
Pop'n Stage EX (ver JB-A),Pop'n Stage EX,popnstageex,pop n stage ex,1,1,main,main,Pop'n'Stage EX,Pop'n'Stage EX,SAME,0,,,
PoPo Bear,PoPo Bear,popobear,popo bear,1,1,main,main,PoPo Bear,PoPo Bear,SAME,0,,,
Popper,Popper,popper,popper,1,1,main,main,Popper,Popper,SAME,0,,,
Pop's Pop's,Pop's Pop's,popspops,pop s pop s,1,1,main,main,Pop's Pop's,Pop's Pop's,SAME,0,,,
Porky,Porky,porky,porky,1,1,main,main,Porky,Porky,SAME,0,,,
