Original Name,Cleaned Name,Normalized (OLD),Normalized (NEW),Match OLD,Match NEW,Type OLD,Type NEW,Matched OLD,Matched NEW,Improvement,Partial Match,Similarity Score,Partial Matched Name,Partial Match Type
005,005,005,005,1,1,main,main,005,005,SAME,0,,,
1 on 1 Government (Japan),1 on 1 Government,1on1government,1 on 1 government,1,1,main,main,1 on 1 Government,1 on 1 Government,SAME,0,,,
"10-Yard Fight (World, set 1)",10-Yard Fight,10yardfight,10 yard fight,1,1,main,main,10-Yard Fight,10-Yard Fight,SAME,0,,,
18 Holes Pro Golf (set 1),18 Holes Pro Golf,18holesprogolf,18 holes pro golf,0,0,,,,,SAME,0,,,
1942 (Revision B),1942,1942,1942,1,1,main,main,1942,1942,SAME,0,,,
1943 Kai Midway Kaisen (Japan),1943 Kai Midway Kaisen,1943kaimidwaykaisen,1943 kai midway kaisen,0,0,,,,,SAME,0,,,
1943 The Battle of Midway Mark II (US),1943 The Battle of Midway Mark II,1943thebattleofmidwaymark2,1943 the battle of midway mark ii,1,1,main,main,1943: The Battle of Midway: Mark II,1943: The Battle of Midway: Mark II,SAME,0,,,
1943: The Battle of Midway (Euro),1943: The Battle of Midway,1943thebattleofmidway,1943 the battle of midway,1,1,main,main,1943: The Battle of Midway,1943: The Battle of Midway,SAME,0,,,
"1945k III (newer, OPCX2 PCB)",1945k III,1945k3,1945k iii,1,1,main,main,1945k III,1945k III,SAME,0,,,
2 On 2 Open Ice Challenge (rev 1.21),2 On 2 Open Ice Challenge,2on2openicechallenge,2 on 2 open ice challenge,1,1,main,main,2 on 2 Open Ice Challenge,2 on 2 Open Ice Challenge,SAME,0,,,
280-ZZZAP,280-ZZZAP,280zzzap,280 zzzap,1,1,main,main,280-Zzzap,280-Zzzap,SAME,0,,,
3-D Bowling,3-D Bowling,3dbowling,3 d bowling,1,1,main,main,3-D Bowling!,3-D Bowling!,SAME,0,,,
3X3 Puzzle (Enterprise),3X3 Puzzle,3x3puzzle,3x3 puzzle,1,1,main,main,3X3 Puzzle,3X3 Puzzle,SAME,0,,,
4 En Raya (set 1),4 En Raya,4enraya,4 en raya,1,1,main,main,4 En Raya,4 En Raya,SAME,0,,,
4 Fun in 1,4 Fun in 1,4funin1,4 fun in 1,1,1,main,main,4 Fun in 1,4 Fun in 1,SAME,0,,,
4-D Warriors (315-5162),4-D Warriors,4dwarriors,4 d warriors,1,1,main,main,4-D Warriors,4-D Warriors,SAME,0,,,
64th. Street: A Detective Story (World),64th. Street: A Detective Story,64thstreetadetectivestory,64th street a detective story,1,1,main,main,64th. Street: A Detective Story,64th. Street: A Detective Story,SAME,0,,,
720 Degrees (rev 4),720 Degrees,720degrees,720 degrees,0,0,,,,,SAME,0,,,
800 Fathoms,800 Fathoms,800fathoms,800 fathoms,1,1,main,main,800 Fathoms,800 Fathoms,SAME,0,,,
'88 Games,'88 Games,88games,88 games,1,1,main,main,'88 Games,'88 Games,SAME,0,,,
'96 Flag Rally,'96 Flag Rally,96flagrally,96 flag rally,1,1,main,main,'96 Flag Rally,'96 Flag Rally,SAME,0,,,
9-Ball Shootout (set 1),9-Ball Shootout,9ballshootout,9 ball shootout,1,1,main,main,9-Ball Shootout,9-Ball Shootout,SAME,0,,,
A Day In Space (310387),A Day In Space,dayinspace,day in space,1,1,main,main,A Day in Space,A Day in Space,SAME,0,,,
"A Question of Sport (set 1, 39-960-107)",A Question of Sport,questionofsport,question of sport,1,1,main,main,A Question of Sport,A Question of Sport,SAME,0,,,
A. D. 2083,A. D. 2083,d2083,d 2083,1,1,main,main,A.D. 2083,A.D. 2083,SAME,0,,,
A.B. Cop (World) (FD1094 317-0169b),A.B. Cop,bcop,b cop,0,0,,,,,SAME,0,,,
Aaargh (Arcadia),Aaargh,aaargh,aaargh,1,1,main,main,AAARGH!,AAARGH!,SAME,0,,,
Ace,Ace,ace,ace,1,1,main,main,Ace,Ace,SAME,0,,,
Ace Attacker (FD1094 317-0059),Ace Attacker,aceattacker,ace attacker,1,1,main,main,Ace Attacker,Ace Attacker,SAME,0,,,
Acrobat Mission,Acrobat Mission,acrobatmission,acrobat mission,1,1,main,main,Acrobat Mission,Acrobat Mission,SAME,0,,,
Acrobatic Dog-Fight,Acrobatic Dog-Fight,acrobaticdogfight,acrobatic dog fight,1,1,main,main,Acrobatic Dog-Fight,Acrobatic Dog-Fight,SAME,0,,,
Act-Fancer Cybernetick Hyper Weapon (World revision 3),Act-Fancer Cybernetick Hyper Weapon,actfancercybernetickhyperweapon,act fancer cybernetick hyper weapon,1,1,main,main,Act-Fancer: Cybernetick Hyper Weapon,Act-Fancer: Cybernetick Hyper Weapon,SAME,0,,,
Action Fighter (FD1089A 317-0018),Action Fighter,actionfighter,action fighter,1,1,main,main,Action Fighter,Action Fighter,SAME,0,,,
Action Hollywood,Action Hollywood,actionhollywood,action hollywood,1,1,main,main,Action Hollywood,Action Hollywood,SAME,0,,,
Aero Fighters (World / USA + Canada / Korea / Hong Kong / Taiwan) (newer hardware),Aero Fighters,aerofighters,aero fighters,1,1,main,main,Aero Fighters,Aero Fighters,SAME,0,,,
Aero Fighters Special (USA),Aero Fighters Special,aerofightersspecial,aero fighters special,1,1,main,main,Aero Fighters Special,Aero Fighters Special,SAME,0,,,
Aeroboto,Aeroboto,aeroboto,aeroboto,1,1,main,main,Aeroboto,Aeroboto,SAME,0,,,
After Burner II,After Burner II,afterburner2,after burner ii,1,1,main,main,After Burner II,After Burner II,SAME,0,,,
Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07),Age Of Heroes - Silkroad 2,ageofheroessilkroad2,age of heroes silkroad 2,1,1,main,main,The Age of Heroes: Silkroad 2,The Age of Heroes: Silkroad 2,SAME,0,,,
"Agent Super Bond (Super Cobra conversion, encrypted)",Agent Super Bond,agentsuperbond,agent super bond,1,1,main,main,Agent Super-Bond,Agent Super-Bond,SAME,0,,,
Agress - Missile Daisenryaku (English bootleg),Agress - Missile Daisenryaku,agressmissiledaisenryaku,agress missile daisenryaku,1,1,main,main,Agress: Missile Daisenryaku,Agress: Missile Daisenryaku,SAME,0,,,
Ah Eikou no Koshien (Japan),Ah Eikou no Koshien,aheikounokoshien,ah eikou no koshien,1,1,main,main,Ah Eikou No Koshien,Ah Eikou No Koshien,SAME,0,,,
Air Assault (World),Air Assault,airassault,air assault,1,1,main,main,Air Assault,Air Assault,SAME,0,,,
Air Attack (set 1),Air Attack,airattack,air attack,1,1,main,main,Air Attack,Air Attack,SAME,0,,,
Air Buster: Trouble Specialty Raid Unit (World),Air Buster: Trouble Specialty Raid Unit,airbustertroublespecialtyraidunit,air buster trouble specialty raid unit,0,0,,,,,SAME,0,,,
"Air Combat (AC2, US)",Air Combat,aircombat,air combat,1,1,main,main,Air Combat,Air Combat,SAME,0,,,
"Air Duel (World, M82 hardware)",Air Duel,airduel,air duel,1,1,main,main,Air Duel,Air Duel,SAME,0,,,
Air Rescue (World),Air Rescue,airrescue,air rescue,1,1,main,main,Air Rescue,Air Rescue,SAME,0,,,
Airwolf,Airwolf,airwolf,airwolf,1,1,main,main,Airwolf,Airwolf,SAME,0,,,
Ajax,Ajax,ajax,ajax,1,1,main,main,Ajax,Ajax,SAME,0,,,
Akazukin (Japan),Akazukin,akazukin,akazukin,1,1,main,main,Akazukin,Akazukin,SAME,0,,,
Alcon (US),Alcon,alcon,alcon,1,1,main,main,ALCON,ALCON,SAME,0,,,
"Alex Kidd The Lost Stars (set 2, unprotected)",Alex Kidd The Lost Stars,alexkiddtheloststars,alex kidd the lost stars,1,1,main,main,Alex Kidd: The Lost Stars,Alex Kidd: The Lost Stars,SAME,0,,,
Ali Baba and 40 Thieves,Ali Baba and 40 Thieves,alibabaand40thieves,ali baba and 40 thieves,1,1,main,main,Ali Baba and 40 Thieves,Ali Baba and 40 Thieves,SAME,0,,,
Alien Arena,Alien Arena,alienarena,alien arena,1,1,main,main,Alien Arena,Alien Arena,SAME,0,,,
Alien Challenge (World),Alien Challenge,alienchallenge,alien challenge,1,1,main,main,Alien Challenge,Alien Challenge,SAME,0,,,
Alien Crush (United Amusements PC Engine),Alien Crush,aliencrush,alien crush,1,1,main,main,Alien Crush,Alien Crush,SAME,0,,,
Alien Sector,Alien Sector,aliensector,alien sector,1,1,main,main,Alien Sector,Alien Sector,SAME,0,,,
"Alien Storm (World, 3 Players) (FD1094 317-0148)",Alien Storm,alienstorm,alien storm,1,1,main,main,Alien Storm,Alien Storm,SAME,0,,,
"Alien Syndrome (set 4, System 16B, unprotected)",Alien Syndrome,aliensyndrome,alien syndrome,1,1,main,main,Alien Syndrome,Alien Syndrome,SAME,0,,,
Alien3: The Gun (World),Alien3: The Gun,alien3thegun,alien3 the gun,1,0,main,,Alien 3: The Gun,,WORSE,0,,,
Aliens (World set 1),Aliens,aliens,aliens,1,1,main,main,Aliens,Aliens,SAME,0,,,
"All American Football (rev D, 2 players)",All American Football,allamericanfootball,all american football,1,1,main,main,All American Football,All American Football,SAME,0,,,
All American Football (rev E),All American Football,allamericanfootball,all american football,1,1,main,main,All American Football,All American Football,SAME,0,,,
Alley Master,Alley Master,alleymaster,alley master,1,1,main,main,Alley Master,Alley Master,SAME,0,,,
"Alligator Hunt (World, protected)",Alligator Hunt,alligatorhunt,alligator hunt,1,1,main,main,Alligator Hunt,Alligator Hunt,SAME,0,,,
Alpha Fighter  Head On,Alpha Fighter  Head On,alphafighterheadon,alpha fighter head on,1,1,main,main,Alpha Fighter / Head On,Alpha Fighter / Head On,SAME,0,,,
Alpha Mission,Alpha Mission,alphamission,alpha mission,1,1,main,main,Alpha Mission,Alpha Mission,SAME,0,,,
Alpha One (Vision Electronics),Alpha One,alphaone,alpha one,1,1,main,main,Alpha One,Alpha One,SAME,0,,,
Alpine Ski (set 1),Alpine Ski,alpineski,alpine ski,1,1,main,main,Alpine Ski,Alpine Ski,SAME,0,,,
Altair,Altair,altair,altair,1,1,main,main,Altair,Altair,SAME,0,,,
Altered Beast (set 8) (8751 317-0078),Altered Beast,alteredbeast,altered beast,1,1,main,main,Altered Beast,Altered Beast,SAME,0,,,
Amazing Maze,Amazing Maze,amazingmaze,amazing maze,1,1,main,main,Amazing Maze,Amazing Maze,SAME,0,,,
Ambush,Ambush,ambush,ambush,1,1,main,main,Ambush,Ambush,SAME,0,,,
Ameri Darts (set 1),Ameri Darts,ameridarts,ameri darts,1,0,main,,AmeriDarts,,WORSE,0,,,
American Horseshoes (US),American Horseshoes,americanhorseshoes,american horseshoes,1,1,main,main,American Horseshoes,American Horseshoes,SAME,0,,,
American Speedway (set 1),American Speedway,americanspeedway,american speedway,1,1,main,main,American Speedway,American Speedway,SAME,0,,,
Amidar,Amidar,amidar,amidar,1,1,main,main,Amidar,Amidar,SAME,0,,,
Andromeda SS (Japan),Andromeda SS,andromedass,andromeda ss,0,0,,,,,SAME,0,,,
Angel Kids (Japan),Angel Kids,angelkids,angel kids,1,1,main,main,Angel Kids,Angel Kids,SAME,0,,,
Angler Dangler (DECO Cassette) (US),Angler Dangler,anglerdangler,angler dangler,1,1,main,main,Angler Dangler,Angler Dangler,SAME,0,,,
Animal Catch,Animal Catch,animalcatch,animal catch,1,1,main,main,Animal Catch,Animal Catch,SAME,0,,,
Anime Champ (GCA07 VER. JAA),Anime Champ,animechamp,anime champ,1,1,main,main,Anime Champ,Anime Champ,SAME,0,,,
Anteater,Anteater,anteater,anteater,1,1,main,main,Anteater,Anteater,SAME,0,,,
Apache 3 (rev F),Apache 3,apache3,apache 3,1,1,main,main,Apache 3,Apache 3,SAME,0,,,
APB - All Points Bulletin (rev 7),APB - All Points Bulletin,apballpointsbulletin,apb all points bulletin,1,1,main,main,APB: All Points Bulletin,APB: All Points Bulletin,SAME,0,,,
Appoooh,Appoooh,appoooh,appoooh,1,1,main,main,Appoooh,Appoooh,SAME,0,,,
Aqua Jack (World),Aqua Jack,aquajack,aqua jack,1,1,main,main,Aqua Jack,Aqua Jack,SAME,0,,,
Aquarium (US),Aquarium,aquarium,aquarium,1,1,main,main,Aquarium,Aquarium,SAME,0,,,
Arabian,Arabian,arabian,arabian,1,1,main,main,Arabian,Arabian,SAME,0,,,
Arabian Fight (World),Arabian Fight,arabianfight,arabian fight,1,1,main,main,Arabian Fight,Arabian Fight,SAME,0,,,
Arabian Magic (Ver 1.0O 19920706),Arabian Magic,arabianmagic,arabian magic,1,1,main,main,Arabian Magic,Arabian Magic,SAME,0,,,
Arbalester,Arbalester,arbalester,arbalester,1,1,main,main,Arbalester,Arbalester,SAME,0,,,
Arcadia (NMK),Arcadia,arcadia,arcadia,0,0,,,,,SAME,0,,,
Arch Rivals (rev 4.0 6/29/89),Arch Rivals,archrivals,arch rivals,1,1,main,main,Arch Rivals,Arch Rivals,SAME,0,,,
Area 51 (R3000),Area 51,area51,area 51,1,1,main,main,Area 51,Area 51,SAME,0,,,
Argus,Argus,argus,argus,1,1,main,main,Argus,Argus,SAME,0,,,
Ark Area,Ark Area,arkarea,ark area,1,1,main,main,Ark Area,Ark Area,SAME,0,,,
Arkanoid - Revenge of DOH (World),Arkanoid - Revenge of DOH,arkanoidrevengeofdoh,arkanoid revenge of doh,1,1,main,main,Arkanoid: Revenge of DOH,Arkanoid: Revenge of DOH,SAME,0,,,
"Arkanoid (World, older)",Arkanoid,arkanoid,arkanoid,1,1,main,main,Arkanoid,Arkanoid,SAME,0,,,
Arkanoid Returns (Ver 2.02O 1997/02/10),Arkanoid Returns,arkanoidreturns,arkanoid returns,1,1,main,main,Arkanoid Returns,Arkanoid Returns,SAME,0,,,
Arm Wrestling,Arm Wrestling,armwrestling,arm wrestling,1,1,main,main,Arm Wrestling,Arm Wrestling,SAME,0,,,
Armed F (Japan),Armed F,armedf,armed f,0,0,,,,,SAME,0,,,
Armed Police Batrider (Europe) (Fri Feb 13 1998),Armed Police Batrider,armedpolicebatrider,armed police batrider,1,1,main,main,Armed Police Batrider,Armed Police Batrider,SAME,0,,,
Armor Attack,Armor Attack,armorattack,armor attack,1,1,main,main,Armor Attack,Armor Attack,SAME,0,,,
Armored Car (set 1),Armored Car,armoredcar,armored car,1,1,main,main,Armored Car,Armored Car,SAME,0,,,
Ashura Blaster (World),Ashura Blaster,ashurablaster,ashura blaster,1,1,main,main,Ashura Blaster,Ashura Blaster,SAME,0,,,
Assault (Rev B),Assault,assault,assault,1,1,main,main,Assault,Assault,SAME,0,,,
Assault Plus (Japan),Assault Plus,assaultplus,assault plus,1,1,main,main,Assault Plus,Assault Plus,SAME,0,,,
Asterix (ver EAD),Asterix,asterix,asterix,1,1,main,main,Astérix,Astérix,SAME,0,,,
Asteroids (rev 4),Asteroids,asteroids,asteroids,1,1,main,main,Asteroids,Asteroids,SAME,0,,,
Asteroids Deluxe (rev 3),Asteroids Deluxe,asteroidsdeluxe,asteroids deluxe,1,1,main,main,Asteroids Deluxe,Asteroids Deluxe,SAME,0,,,
Astra SuperStars (J 980514 V1.002),Astra SuperStars,astrasuperstars,astra superstars,1,1,main,main,Astra Superstars,Astra Superstars,SAME,0,,,
Astro Blaster (version 3),Astro Blaster,astroblaster,astro blaster,1,1,main,main,Astro Blaster,Astro Blaster,SAME,0,,,
Astro Chase (Max-A-Flex),Astro Chase,astrochase,astro chase,1,1,main,main,Astro Chase,Astro Chase,SAME,0,,,
Astro Fantasia (DECO Cassette) (US),Astro Fantasia,astrofantasia,astro fantasia,1,1,main,main,Astro Fantasia,Astro Fantasia,SAME,0,,,
Astro Fighter (set 1),Astro Fighter,astrofighter,astro fighter,1,1,main,main,Astro Fighter,Astro Fighter,SAME,0,,,
Astro Wars,Astro Wars,astrowars,astro wars,1,1,main,main,Astro Wars,Astro Wars,SAME,0,,,
Astropal,Astropal,astropal,astropal,1,1,main,main,Astropal,Astropal,SAME,0,,,
Asuka &amp;amp;amp;amp; Asuka (World),Asuka &amp;amp;amp;amp; Asuka,asukaampampampampasuka,asuka amp amp amp amp asuka,0,0,,,,,SAME,0,,,
Asura Blade - Sword of Dynasty (Japan),Asura Blade - Sword of Dynasty,asurabladeswordofdynasty,asura blade sword of dynasty,1,1,main,main,Asura Blade: Sword of Dynasty,Asura Blade: Sword of Dynasty,SAME,0,,,
Asura Buster - Eternal Warriors (USA),Asura Buster - Eternal Warriors,asurabustereternalwarriors,asura buster eternal warriors,1,1,main,main,Asura Buster: Eternal Warriors,Asura Buster: Eternal Warriors,SAME,0,,,
Atari Baseball (set 1),Atari Baseball,ataribaseball,atari baseball,1,1,main,main,Atari Baseball,Atari Baseball,SAME,0,,,
Atari Basketball,Atari Basketball,ataribasketball,atari basketball,1,1,main,main,Atari Basketball,Atari Basketball,SAME,0,,,
Atari Football (revision 2),Atari Football,atarifootball,atari football,1,1,main,main,Atari Football,Atari Football,SAME,0,,,
Atari Soccer,Atari Soccer,atarisoccer,atari soccer,1,1,main,main,Atari Soccer,Atari Soccer,SAME,0,,,
Ataxx (rev 5),Ataxx,ataxx,ataxx,1,1,main,main,Ataxx,Ataxx,SAME,0,,,
Athena,Athena,athena,athena,1,1,main,main,Athena,Athena,SAME,0,,,
Atomic Point (Korea),Atomic Point,atomicpoint,atomic point,1,1,main,main,Atomic Point,Atomic Point,SAME,0,,,
"Atomic Robo-kid (World, Type-2)",Atomic Robo-kid,atomicrobokid,atomic robo kid,1,1,main,main,Atomic Robo-Kid,Atomic Robo-Kid,SAME,0,,,
Atomic Runner Chelnov (World),Atomic Runner Chelnov,atomicrunnerchelnov,atomic runner chelnov,1,1,main,main,Atomic Runner Chelnov,Atomic Runner Chelnov,SAME,0,,,
Attack Force (encrypted),Attack Force,attackforce,attack force,1,1,main,main,Attack Force,Attack Force,SAME,0,,,
Attack UFO,Attack UFO,attackufo,attack ufo,1,1,main,main,Attack UFO,Attack UFO,SAME,0,,,
"Aurail (set 3, US) (unprotected)",Aurail,aurail,aurail,1,1,main,main,Aurail,Aurail,SAME,0,,,
Avalanche,Avalanche,avalanche,avalanche,1,1,main,main,Avalanche,Avalanche,SAME,0,,,
"Avengers (US, rev. D)",Avengers,avengers,avengers,1,1,main,main,Avengers,Avengers,SAME,0,,,
Avengers In Galactic Storm (USEurope 1.0),Avengers In Galactic Storm,avengersingalacticstorm,avengers in galactic storm,1,1,main,main,Avengers in Galactic Storm,Avengers in Galactic Storm,SAME,0,,,
Avenging Spirit,Avenging Spirit,avengingspirit,avenging spirit,1,1,main,main,Avenging Spirit,Avenging Spirit,SAME,0,,,
Aztarac,Aztarac,aztarac,aztarac,1,1,main,main,Aztarac,Aztarac,SAME,0,,,
Azurian Attack,Azurian Attack,azurianattack,azurian attack,1,1,main,main,Azurian Attack,Azurian Attack,SAME,0,,,
B.C. Kid / Bonk's Adventure / Kyukyoku!! PC Genjin,B.C. Kid / Bonk's Adventure / Kyukyoku!! PC Genjin,bckidbonksadventurekyukyokupcgenjin,b c kid bonk s adventure kyukyoku pc genjin,0,0,,,,,SAME,0,,,
B.C. Story (set 1),B.C. Story,bcstory,b c story,1,1,main,main,B.C. Story,B.C. Story,SAME,0,,,
B.Rap Boys (World),B.Rap Boys,brapboys,b rap boys,1,1,main,main,B.Rap Boys,B.Rap Boys,SAME,0,,,
"B.Rap Boys Special (World, newer)",B.Rap Boys Special,brapboysspecial,b rap boys special,1,1,main,main,B.Rap Boys Special,B.Rap Boys Special,SAME,0,,,
"Back Fire (Tecmo, bootleg)",Back Fire,backfire,back fire,1,1,main,main,Backfire!,Back Fire,SAME,0,,,
Back Street Soccer (KRB-0031 PCB),Back Street Soccer,backstreetsoccer,back street soccer,1,1,main,main,Back Street Soccer,Back Street Soccer,SAME,0,,,
"Backfire! (Japan, set 2)",Backfire!,backfire,backfire,1,1,main,main,Backfire!,Backfire!,SAME,0,,,
"Bad Dudes vs. Dragonninja (US, revision 1)",Bad Dudes vs. Dragonninja,baddudesvsdragonninja,bad dudes vs dragonninja,1,1,main,main,Bad Dudes Vs. DragonNinja,Bad Dudes Vs. DragonNinja,SAME,0,,,
Bad Lands,Bad Lands,badlands,bad lands,0,0,,,,,SAME,0,,,
Bagman,Bagman,bagman,bagman,1,1,main,main,Bagman,Bagman,SAME,0,,,
Baku Baku Animal (J 950407 V1.000),Baku Baku Animal,bakubakuanimal,baku baku animal,1,1,main,main,Baku Baku Animal,Baku Baku Animal,SAME,0,,,
Bakutotsu Kijuutei,Bakutotsu Kijuutei,bakutotsukijuutei,bakutotsu kijuutei,1,1,main,main,Bakutotsu Kijuutei,Bakutotsu Kijuutei,SAME,0,,,
Bal Cube,Bal Cube,balcube,bal cube,1,1,main,main,Bal Cube,Bal Cube,SAME,0,,,
Balloon Bomber,Balloon Bomber,balloonbomber,balloon bomber,1,1,main,main,Balloon Bomber,Balloon Bomber,SAME,0,,,
Balloon Brothers,Balloon Brothers,balloonbrothers,balloon brothers,1,1,main,main,Balloon Brothers,Balloon Brothers,SAME,0,,,
Baluba-louk no Densetsu (Japan),Baluba-louk no Densetsu,balubalouknodensetsu,baluba louk no densetsu,1,1,main,main,Baluba-louk no Densetsu,Baluba-louk no Densetsu,SAME,0,,,
BanBam,BanBam,banbam,banbam,1,1,main,main,BanBam,BanBam,SAME,0,,,
Bandido,Bandido,bandido,bandido,1,1,main,main,Bandido,Bandido,SAME,0,,,
Bandit (US),Bandit,bandit,bandit,1,1,main,main,Bandit,Bandit,SAME,0,,,
Bang Bang Ball (v1.05),Bang Bang Ball,bangbangball,bang bang ball,1,1,main,main,Bang Bang Ball,Bang Bang Ball,SAME,0,,,
Bang!,Bang!,bang,bang,1,1,main,main,Bang,Bang,SAME,0,,,
Bank Panic,Bank Panic,bankpanic,bank panic,1,1,main,main,Bank Panic,Bank Panic,SAME,0,,,
Barricade,Barricade,barricade,barricade,1,1,main,main,Barricade,Barricade,SAME,0,,,
Barrier,Barrier,barrier,barrier,1,1,main,main,Barrier,Barrier,SAME,0,,,
Baryon - Future Assault (set 1),Baryon - Future Assault,baryonfutureassault,baryon future assault,1,1,main,main,Baryon: Future Assault,Baryon: Future Assault,SAME,0,,,
Baseball The Season II,Baseball The Season II,baseballtheseason2,baseball the season ii,1,1,main,main,Baseball: The Season II,Baseball: The Season II,SAME,0,,,
Batman,Batman,batman,batman,0,0,,,,,SAME,0,,,
Batman Forever (JUE 960507 V1.000),Batman Forever,batmanforever,batman forever,1,1,main,main,Batman Forever,Batman Forever,SAME,0,,,
Batsugun,Batsugun,batsugun,batsugun,1,1,main,main,Batsugun,Batsugun,SAME,0,,,
Battlantis (version G),Battlantis,battlantis,battlantis,1,1,main,main,Battlantis,Battlantis,SAME,0,,,
Battle Arena Toshinden 2 (Europe 951124),Battle Arena Toshinden 2,battlearenatoshinden2,battle arena toshinden 2,1,1,main,main,Battle Arena Toshinden 2,Battle Arena Toshinden 2,SAME,0,,,
Battle Bakraid - Unlimited Version (USA) (Tue Jun 8 1999),Battle Bakraid - Unlimited Version,battlebakraidunlimitedversion,battle bakraid unlimited version,1,1,main,main,Battle Bakraid: Unlimited Version,Battle Bakraid: Unlimited Version,SAME,0,,,
Battle Balls (US),Battle Balls,battleballs,battle balls,1,1,main,main,Battle Balls,Battle Balls,SAME,0,,,
Battle Chopper (World),Battle Chopper,battlechopper,battle chopper,1,1,main,main,Battle Chopper,Battle Chopper,SAME,0,,,
Battle Cross,Battle Cross,battlecross,battle cross,1,1,main,main,Battle Cross,Battle Cross,SAME,0,,,
Battle Cruiser M-12,Battle Cruiser M-12,battlecruiserm12,battle cruiser m 12,1,1,main,main,Battle Cruiser M-12,Battle Cruiser M-12,SAME,0,,,
Battle Garegga (Europe / USA / Japan / Asia) (Sat Feb 3 1996),Battle Garegga,battlegaregga,battle garegga,1,1,main,main,Battle Garegga,Battle Garegga,SAME,0,,,
Battle K-Road,Battle K-Road,battlekroad,battle k road,1,1,main,main,Battle K-Road,Battle K-Road,SAME,0,,,
Battle Lane! Vol. 5 (set 1),Battle Lane! Vol. 5,battlelanevol5,battle lane vol 5,1,1,main,main,Battle Lane! Vol. 5,Battle Lane! Vol. 5,SAME,0,,,
Battle of Atlantis (set 1),Battle of Atlantis,battleofatlantis,battle of atlantis,1,1,main,main,Battle of Atlantis,Battle of Atlantis,SAME,0,,,
Battle of the Solar System (rev. 1.1a 7/23/92),Battle of the Solar System,battleofthesolarsystem,battle of the solar system,1,1,main,main,Battle of the Solar System,Battle of the Solar System,SAME,0,,,
Battle Rangers (World),Battle Rangers,battlerangers,battle rangers,0,0,,,,,SAME,0,,,
Battle Shark (World),Battle Shark,battleshark,battle shark,1,1,main,main,Battle Shark,Battle Shark,SAME,0,,,
Battle Zone (rev 2),Battle Zone,battlezone,battle zone,1,0,main,,Battlezone,,WORSE,0,,,
Battlecry (Version E),Battlecry,battlecry,battlecry,1,1,main,main,BattleCry,BattleCry,SAME,0,,,
Battletoads,Battletoads,battletoads,battletoads,1,1,main,main,Battletoads,Battletoads,SAME,0,,,
"Bay Route (set 3, World) (FD1094 317-0116)",Bay Route,bayroute,bay route,1,1,main,main,Bay•Route,Bay•Route,SAME,0,,,
Beach Festival World Championship 1997,Beach Festival World Championship 1997,beachfestivalworldchampionship1997,beach festival world championship 1997,1,1,main,main,Beach Festival World Championship 1997,Beach Festival World Championship 1997,SAME,0,,,
Beam Invader,Beam Invader,beaminvader,beam invader,1,1,main,main,Beam Invader,Beam Invader,SAME,0,,,
Beast Busters (World),Beast Busters,beastbusters,beast busters,1,1,main,main,Beast Busters,Beast Busters,SAME,0,,,
"Beastorizer (USA, Sep 22 1997)",Beastorizer,beastorizer,beastorizer,1,1,main,main,Beastorizer,Beastorizer,SAME,0,,,
beatmania (ver JA-B),beatmania,beatmania,beatmania,1,1,main,main,beatmania,beatmania,SAME,0,,,
beatmania 2nd MIX (ver JA-B),beatmania 2nd MIX,beatmania2ndmix,beatmania 2nd mix,1,1,main,main,beatmania 2nd MIX,beatmania 2nd MIX,SAME,0,,,
beatmania 3rd MIX (ver JA-A),beatmania 3rd MIX,beatmania3rdmix,beatmania 3rd mix,1,1,main,main,beatmania 3rd MIX,beatmania 3rd MIX,SAME,0,,,
beatmania 4th MIX (ver JA-A),beatmania 4th MIX,beatmania4thmix,beatmania 4th mix,1,1,main,main,beatmania 4th MIX,beatmania 4th MIX,SAME,0,,,
beatmania 5th MIX (ver JA-A),beatmania 5th MIX,beatmania5thmix,beatmania 5th mix,1,1,main,main,beatmania 5th MIX,beatmania 5th MIX,SAME,0,,,
beatmania 6th MIX (ver JA-A),beatmania 6th MIX,beatmania6thmix,beatmania 6th mix,1,1,main,main,beatmania 6th MIX,beatmania 6th MIX,SAME,0,,,
beatmania 7th MIX (ver JA-B),beatmania 7th MIX,beatmania7thmix,beatmania 7th mix,1,1,main,main,beatmania 7th MIX,beatmania 7th MIX,SAME,0,,,
beatmania Club MIX (ver JA-A),beatmania Club MIX,beatmaniaclubmix,beatmania club mix,1,1,main,main,beatmania Club MIX,beatmania Club MIX,SAME,0,,,
beatmania complete MIX (ver AA-C),beatmania complete MIX,beatmaniacompletemix,beatmania complete mix,1,1,main,main,beatmania complete MIX,beatmania complete MIX,SAME,0,,,
beatmania complete MIX (ver JA-C),beatmania complete MIX,beatmaniacompletemix,beatmania complete mix,1,1,main,main,beatmania complete MIX,beatmania complete MIX,SAME,0,,,
beatmania complete MIX 2 (ver JA-A),beatmania complete MIX 2,beatmaniacompletemix2,beatmania complete mix 2,1,1,main,main,beatmania complete MIX 2,beatmania complete MIX 2,SAME,0,,,
beatmania CORE REMIX (ver JA-A),beatmania CORE REMIX,beatmaniacoreremix,beatmania core remix,1,1,main,main,beatmania CORE REMIX,beatmania CORE REMIX,SAME,0,,,
