Original Name,Cleaned Name,Normalized (OLD),Normalized (NEW),Match OLD,Match NEW,Type OLD,Type NEW,Matched OLD,Matched NEW,Improvement,Partial Match,Custom Similarity Score,Jaro-Winkler Score,Partial Matched Name,Partial Match Type
How to be a Hero (1987)(Mastertronic)[cr],How to be a Hero,howtobeahero,How to be a Hero,1,0,main,,How to Be a Hero,,WORSE,1,1.0,1.0,How to Be a Hero,main
Howard the Duck (1987)(Activision),Howard the Duck,howardtheduck,Howard the Duck,0,0,,,,,SAME,1,0.26730769230769236,0.7652972027972027,Hard Hat Mack,main
Hudson Hawk (1991)(Ocean),Hudson Hawk,hudsonhawk,Hudson Hawk,1,1,main,main,Hudson Hawk,Hudson Hawk,SAME,0,,,,
Human Killing Machine (1989)(US Gold),Human Killing Machine,humankillingmachine,Human Killing Machine,0,0,,,,,SAME,1,0.23522267206477732,0.6466165413533834,Hangman,main
Humanoid (1988)(Arnoud Linz)(fr)(Disk 1 of 2)[t +2 Jupiter],Humanoid,humanoid,Humanoid,0,0,,,,,SAME,1,0.21346153846153848,0.6583333333333333,Hanse,main
Humanoid (1988)(Arnoud Linz)(fr)(Disk 2 of 2)[t +2 Jupiter],Humanoid,humanoid,Humanoid,0,0,,,,,SAME,1,0.21346153846153848,0.6583333333333333,Hanse,main
Humphrey (1988)(Zigurat Software)(es)[cr],Humphrey,humphrey,Humphrey,1,1,main,main,Humphrey,Humphrey,SAME,0,,,,
Hunchback - The Adventure (1986)(Ocean Software),Hunchback - The Adventure,hunchbacktheadventure,Hunchback The Adventure,1,1,main,main,Hunchback: The Adventure!,Hunchback: The Adventure!,SAME,0,,,,
Hunchback (1985)(Amsoft),Hunchback,hunchback,Hunchback,1,1,main,main,Hunchback,Hunchback,SAME,0,,,,
Hunchback II - Quasimodo's Revenge (1985)(Ocean),Hunchback II - Quasimodo's Revenge,hunchback2quasimodosrevenge,Hunchback 2 Quasimodo s Revenge,1,1,main,main,Hunchback II: Quasimodo's Revenge,Hunchback II: Quasimodo's Revenge,SAME,0,,,,
Hundra (1987)(Dinamic Software)(es),Hundra,hundra,Hundra,1,1,main,main,Hundra,Hundra,SAME,0,,,,
Hundra (1987)(Dinamic Software)[cr][f],Hundra,hundra,Hundra,1,1,main,main,Hundra,Hundra,SAME,0,,,,
"Hunt for Red October, The - Based on the Movie (1991)(Grandslam Entertainments)(Side A)","Hunt for Red October, The - Based on the Movie",huntforredoctoberthebasedonthemovie,Hunt for Red October The Based on the Movie,0,0,,,,,SAME,1,0.46942430703624727,0.9391071428571428,The Hunt for Red October: Based on the Movie,main
"Hunt for Red October, The - Based on the Movie (1991)(Grandslam Entertainments)(Side B)","Hunt for Red October, The - Based on the Movie",huntforredoctoberthebasedonthemovie,Hunt for Red October The Based on the Movie,0,0,,,,,SAME,1,0.46942430703624727,0.9391071428571428,The Hunt for Red October: Based on the Movie,main
"Hunt for Red October, The (1987)(Grandslam)(de)","Hunt for Red October, The",huntforredoctober,Hunt for Red October The,1,0,main,,The Hunt for Red October,,WORSE,1,1.0,1.0,The Hunt for Red October,main
"Hunt for Red October, The (1987)(Grandslam)","Hunt for Red October, The",huntforredoctober,Hunt for Red October The,1,0,main,,The Hunt for Red October,,WORSE,1,1.0,1.0,The Hunt for Red October,main
Hunter-Killer (1984)(Amsoft),Hunter-Killer,hunterkiller,Hunter Killer,1,1,main,main,Hunter Killer,Hunter Killer,SAME,0,,,,
Hurlements (1988)(Ubi Soft)(fr)(Side A),Hurlements,hurlements,Hurlements,1,1,main,main,Hurlements,Hurlements,SAME,0,,,,
Hurlements (1988)(Ubi Soft)(fr)(Side B),Hurlements,hurlements,Hurlements,1,1,main,main,Hurlements,Hurlements,SAME,0,,,,
Hustler (1985)(Bubblebus Software),Hustler,hustler,Hustler,1,1,main,main,Hustler,Hustler,SAME,0,,,,
Huxley Pig (1991)(Alternative Software)[cr NPS][t NPS],Huxley Pig,huxleypig,Huxley Pig,1,1,main,main,Huxley Pig,Huxley Pig,SAME,0,,,,
Hybrid (1987)(Starlight Software),Hybrid,hybrid,Hybrid,1,1,main,main,Hybrid,Hybrid,SAME,0,,,,
Hydra (1991)(Domark)(Side A),Hydra,hydra,Hydra,1,1,main,main,Hydra,Hydra,SAME,0,,,,
Hydra (1991)(Domark)(Side B),Hydra,hydra,Hydra,1,1,main,main,Hydra,Hydra,SAME,0,,,,
Hydrofool (1987)(FTL),Hydrofool,hydrofool,Hydrofool,1,1,main,main,Hydrofool,Hydrofool,SAME,0,,,,
Hyper Sports (1985)(Ocean Software),Hyper Sports,hypersports,Hyper Sports,1,1,main,main,Hyper Sports,Hyper Sports,SAME,0,,,,
Hyperbowl (1986)(Mastertronic)[cr],Hyperbowl,hyperbowl,Hyperbowl,1,1,main,main,Hyperbowl,Hyperbowl,SAME,0,,,,
Hyperspace - Aventures Spatio-Temporelles (2018)(Cobra Soft)(es)(Hack)[cr],Hyperspace - Aventures Spatio-Temporelles,hyperspaceaventuresspatiotemporelles,Hyperspace Aventures Spatio Temporelles,0,0,,,,,SAME,1,0.18666666666666668,0.6503411306042884,"Helvera, Mistress of the Park",main
Hyperspace - Time-Space Adventures (2019)(Cobra Soft)(Hack)[cr],Hyperspace - Time-Space Adventures,hyperspacetimespaceadventures,Hyperspace Time Space Adventures,0,0,,,,,SAME,1,0.26455172413793104,0.6105090311986864,Hunchback: The Adventure!,main
Hyperspace (1985)(Cobra Soft)(fr)[cr],Hyperspace,hyperspace,Hyperspace,0,0,,,,,SAME,1,0.4675324675324675,0.9818181818181818,Hyperspace 4,main
Hypsys (1989)(Dro Soft),Hypsys,hypsys,Hypsys,1,1,main,main,Hypsys,Hypsys,SAME,0,,,,
"I, Ball (1987)(Firebird)[cr][f]","I, Ball",ball,Ball,1,1,main,main,"I, Ball","I, Ball",SAME,0,,,,
"I, Ball II - Quest for the Past (1987)(Firebird)[cr]","I, Ball II - Quest for the Past",ball2questforthepast,Ball 2 Quest for the Past,0,0,,,,,SAME,1,0.3145945945945946,0.7927731092436974,Bug's Quest for Tapes,main
Ian Botham's Test Match (1985)(Tynesoft)[cr],Ian Botham's Test Match,ianbothamstestmatch,Ian Botham s Test Match,1,1,main,main,Ian Botham's Test Match,Ian Botham's Test Match,SAME,0,,,,
Ice Breaker (1990)(Topo Soft)(es),Ice Breaker,icebreaker,Ice Breaker,1,1,main,main,Ice-Breaker,Ice-Breaker,SAME,0,,,,
"Ice Guardian, The (1991)(Strategy Software)(Side A)[cr]","Ice Guardian, The",iceguardian,Ice Guardian The,0,0,,,,,SAME,1,0.2090909090909091,0.6414141414141414,Imagination,main
"Ice Guardian, The (1991)(Strategy Software)(Side B)[cr]","Ice Guardian, The",iceguardian,Ice Guardian The,0,0,,,,,SAME,1,0.2090909090909091,0.6414141414141414,Imagination,main
"Ice Temple, The (1989)(CDS Software LTD)[cr]","Ice Temple, The",icetemple,Ice Temple The,1,0,main,,The Ice Temple,,WORSE,1,1.0,1.0,The Ice Temple,main
Icon Jon (1986)(Mirrorsoft),Icon Jon,iconjon,Icon Jon,1,1,main,main,Icon Jon,Icon Jon,SAME,0,,,,
Ikari Warriors (1988)(Elite Systems)(v2),Ikari Warriors,ikariwarriors,Ikari Warriors,1,1,main,main,Ikari Warriors,Ikari Warriors,SAME,0,,,,
Il Etait Une Fois (1989)(Carraz Editions)(fr),Il Etait Une Fois,iletaitunefois,Il Etait Une Fois,0,0,,,,,SAME,1,0.18757763975155278,0.6428571428571428,Los Inhumanos,main
"Ile Oubliee, L' (1993)(Bruno Fonters)(fr)(Side A)","Ile Oubliee, L'",ileoubliee,Ile Oubliee L,1,0,main,,L'ile Oubliée,,WORSE,1,1.0,1.0,L'ile Oubliée,main
"Ile Oubliee, L' (1993)(Bruno Fonters)(fr)(Side B)","Ile Oubliee, L'",ileoubliee,Ile Oubliee L,1,0,main,,L'ile Oubliée,,WORSE,1,1.0,1.0,L'ile Oubliée,main
Imaginario Colectivo (2012)(ESP Soft)(fr),Imaginario Colectivo,imaginariocolectivo,Imaginario Colectivo,1,1,main,main,Imaginario Colectivo,Imaginario Colectivo,SAME,0,,,,
Imaginario Colectivo (2012)(ESP Soft)(es),Imaginario Colectivo,imaginariocolectivo,Imaginario Colectivo,1,1,main,main,Imaginario Colectivo,Imaginario Colectivo,SAME,0,,,,
Imaginario Colectivo (2012)(ESP Soft),Imaginario Colectivo,imaginariocolectivo,Imaginario Colectivo,1,1,main,main,Imaginario Colectivo,Imaginario Colectivo,SAME,0,,,,
Imagination (1987)(Firebird)[cr],Imagination,imagination,Imagination,1,1,main,main,Imagination,Imagination,SAME,0,,,,
Impact (1988)(Audiogenic Software LTD),Impact,impact,Impact,1,1,main,main,Impact,Impact,SAME,0,,,,
Impossaball (1987)(Hewson),Impossaball,impossaball,Impossaball,1,1,main,main,Impossaball,Impossaball,SAME,0,,,,
Impossamole (1990)(Gremlin Graphics Software),Impossamole,impossamole,Impossamole,1,1,main,main,Impossamole,Impossamole,SAME,0,,,,
Impossible Mission (1986)(Epyx),Impossible Mission,impossiblemission,Impossible Mission,1,1,main,main,Impossible Mission,Impossible Mission,SAME,0,,,,
