lindbergh|.game
tanodragon|.cas;.bas;.dmk;.jvc;.os9;.dsk;.vdk;.rom;.ccc;.sna;.m3u;.asc
teknoparrot|.teknoparrot;.parrot;.game
Texas Instruments TI 99/4A|.ctg;.m3u;.rpk;.wav;.zip;.7z
tg-cd|.cue;.ccd;.chd;.pce;.iso;.cso;.img;.zip;.7z
tg16|.pce;.cue;.ccd;.sgx;.zip;.7z
Thomson MO5|.fd;.k7;.m7;.sap;.rom;.m3u
Thomson TO7|.fd;.k7;.m7;.sap;.rom;.m3u
thomson|.fd;.k7;.m7;.sap;.rom;.zip;.7z
ti994a|.ctg;.m3u;.rpk;.wav;.zip;.7z
ti99|.ctg;.m3u;.rpk;.wav;.zip;.7z
tic80|.tic;.zip;.7z
to8|.fd;.k7;.m7;.sap;.rom;.m3u
triforce|.iso;.zip;.cue;.gcm;.gcz;.ciso;.wbfs;.dol;.m3u
TRS-80 Color Computer|.cas;.wav;.bas;.asc;.dmk;.jvc;.os9;.dsk;.vdk;.rom;.ccc;.m3u
trs-80|.dsk;.m3u
trs80coco|.cas;.wav;.bas;.asc;.dmk;.jvc;.os9;.dsk;.vdk;.rom;.ccc;.m3u
tutor|.bin;.wav;.zip;.7z
tvgames|.zip;.7z
type-x|.pc;.exe;.wine;.wsquashfs;.wtgz;.bat;.lnk
tyrquake|.pak
uzebox|.uze;.zip;.7z
vc4000|.bin;.rom;.pgm;.tvc;.zip;.7z
vectrex|.vec;.zip;.bin;.7z;.gam
vemulator|.vms;.dci;.bin
vg5000|.k7
vgmplay|.vgm;.vgz;.zip;.7z
vic20|.bin;.crt;.prg;.20;.40;.60;.70;.a0;.b0;.m3u;.zip;.7z;.tap;.d64
videopacplus|.bin;.zip;.7z
videopac|.bin;.zip
virtualboy|.vb;.vboy;.bin;.zip;.7z
vpinball|.vpx
vsmile|.u1;.u3;.bin;.zip;.7z
wasm4|.wasm;.zip;.7z
Watara Supervision|.sv;.zip;.7z
wiiu|.wud;.wux;.iso;.wad;.rpx;.elf;.wup;.squashfs;.m3u;.wua
wii|.iso;.wbfs;.wad;.rvz;.gcz;.ciso;.cso
Windows 3.X|.plus;.wine;.pc;.exe;.wsquashfs;.wtgz;.lnk;.win;.windows;.cmd;.bat
windows_installers|.exe;.iso
windows|.plus;.wine;.pc;.exe;.wsquashfs;.wtgz;.lnk;.win;.windows;.cmd;.bat
WonderSwan Color|.ws;.wsc;.pc2;.zip;.7z
wonderswancolor|.wsc;.zip;.7z
wonderswan|.ws;.zip;.7z
WoW Action Max|.daphne;.7z;.zip;.rar;.squashfs
wswanc|.ws;.wsc;.pc2;.zip;.7z
wswan|.ws;.wsc;.pc2;.zip;.7z
x1|.dx1;.2d;.2hd;.tfd;.d88;.88d;.hdm;.xdf;.dup;.cmd;.zip;.7z
x360|.iso;.xex;.x360
x68000|.dim;.img;.d88;.88d;.hdm;.dup;.2hd;.xdf;.hdf;.cmd;.m3u;.zip;.7z
xash3d_fwgs|.game
xbox360|.iso;.xex;.x360;.xcp;.m3u;.squashfs
xbox|.iso;.xbe;.squashfs
xegs|.atr;.dsk;.xfd;.bin;.rom;.car;.zip;.7z
zmachine|.dat;.zip;.z1;.z2;.z3;.z4;.z5;.z6;.z7;.z8
zx81|.tzx;.p;.zip;.7z;.tap;.z80;.rzx;.scl;.trd
zxnext|.nex;.snx;.sna
zxspectrum|.tzx;.tap;.z80;.rzx;.scl;.trd;.zip;.7z
_test|.zip;.dsk;.m3u;.lha;.iso;.cue;.chd;.bin;.adf;.uae;.ipf;.dms;.mds;.adz;.rp9;.fdi;.ccd;.nrg;.hdf;.hdz;2mg;.lst;.fba;.dat;.cpc;.cdt;.kcr;.sna;tap;.voc;.a78;.a26;.j64;.jag;.rom;.lnx;.exe;.col;.7z;.gba;.cas;.bas;.dmk;.jvc;.os9;.vdk;.ccc;.sna;.int;.cpr;.pc;.dos;.sms;.plus;.mv;.n64;.v64;.z64;.ndd;.swf;.nes;.tap;.d98;.98d;.pce;.pbp;.cso;.rvm;.residualvm;.sad;.smc;.sfc;.toc;.32x;.sg;.solarus;.st;.sgx;.ctg;.tic;.pak;.uze;.vec;.vb;.vboy;.wbfs;.wud;.wux;.ws;.wsc;.dx1;.2d;.2hd;.tfd;.dim;.img;.tzx;;.z80;.rzx;.scl;.trd;.nes

###########################################
###
###  ADDED On 4/7/2024 11:30:27 PM
###
###########################################

atari|.a26;.bin;.zip;.7z;.rom;.a78;.a52
commodore|.d64;.d71;.d80;.d81;.d82;.g64;.g41;.x64;.t64;.tap;.prg;.p00;.crt;.bin;.gz;.d6z;.d7z;.d8z;.g6z;.g4z;.x6z;.cmd;.m3u;.zip;.7z
corsixth|.game
cpc|.dsk;.zip;.cpc;.cdt;.kcr;.sna;tap;.voc;.m3u;.7z
eduke32|.eduke32
eighthundred|.xfd;.atr;.atx;.cdm;.cas;.bin;.xex;.zip;.m3u;.rom
etlegacy|.etl
fairchild|.bin;.rom;.zip;.7z;.chf
fallout1-ce|.f1ce
fallout2-ce|.f2ce
fba2012|.7z;.fba;.zip;.chd
fc|.nes;.zip;.7z
fury|.grp
gg|.gg;.zip;.7z;.bin
gzdoom|.wad;.iwad;.pwad;.gzdoom
hcl|.game
hurrican|.game
iortcw|.rtcw
mame2000|.zip;.7z
md|.32x;.68k;.bin;.bms;.chd;.cue;.gen;.gg;.iso;.m3u;.md;.mdx;.sg;.sgd;.smd;.sms;.7z;.zip;
mdcd|.68k;.bin;.bms;.chd;.cue;.gen;.gg;.iso;.m3u;.md;.mdx;.sg;.sgd;.smd;.sms;.7z;.zip
ms|.sms;.zip;.7z;.bin
neocd|.chd;.cue;.iso;.m3u
odcommander|.odc
odyssey|.bin;.zip;.7z
panasonic|.iso;.cue;.chd;.m3u
pcecd|.cue;.ccd;.chd;.pce;.iso;.cso;.img;.zip;.7z
pceightyeight|.d98;.98d;.fdi;.fdd;.2hd;.tfd;.d88;.88d;.hdm;.xdf;.dup;.cmd;.hdi;.thd;.nhd;.hdd;.hdn;.m3u;.zip;.7z
pcninetyeight|.d98;.98d;.fdi;.fdd;.2hd;.tfd;.d88;.88d;.hdm;.xdf;.dup;.cmd;.hdi;.thd;.nhd;.hdd;.hdn;.m3u;.zip;.7z
pico|.p8;.png;.exe;.zip;.7z;.m3u
poke|.min;.zip;.7z
ps|.iso;.img;.pbp;.cue;.ccd;.cbn;.m3u;.chd;.mdf;.zip;.7z
raze|.raze
segasgone|.sg;.zip;.7z;.rom;.bin;.gg;.sms
sgfx|.pce;.sgx;.zip;.ccd;.cue;.7z;.chd;.fba
sms|.sms;.zip;.7z;.bin
sonic3-air|s3air
sonic-mania|.sman
superbroswar|.game
thextech|.smbx
thirtytwox|.32x;.68k;.bin;.bms;.chd;.cue;.gen;.gg;.iso;.m3u;.md;.mdx;.sg;.sgd;.smd;.sms;.7z;.zip
tic|.ctg;.m3u;.rpk;.wav;.zip;.7z
tyrian|.game
vb|.vb;.vboy;.bin;.zip;.7z
vis|.chd;.cue;.toc;.nrg;.gdi;.iso;.cdr
vitaquake2|.pak;.zip;.7zip;.7z
vmu|.vms;.bin
ws|.ws;.wsc;.pc2;.zip;.7z
xone|.dx1;.2d;.2hd;.tfd;.d88;.88d;.hdm;.xdf;.dup;.cmd;.zip;.7z
xrick|.zip
zc210|.qst
zxeightyone|.tzx;.p;.zip;.7z;.tap;.z80;.rzx;.scl;.trd
zxs|.tzx;.tap;.z80;.rzx;.scl;.trd;.zip;.7z


###########################################
###
###  ADDED On 5/16/2024 7:51:33 PM
###
###########################################

android|.apk
Microsoft Xbox One|.dx1;.2d;.2hd;.tfd;.d88;.88d;.hdm;.xdf;.dup;.cmd;.zip;.7z
Nintendo Entertainment System - Mario Hacks|.nes;.zip;.7z
vircon32|.zip
voxatron|.zip


###########################################
###__ADDED On 1/6/2025 5:24:31 PM__###
alg|.alg
Amstrad|.dsk;.zip;.cpc;.cdt;.kcr;.sna;tap;.voc;.m3u;.7z
Atari ST-STE-TT-Falcon|.st;.stx;.ipf;.zip;.7z;.m3u;.msa;.dim
atarixegs|.xex;.bin;.rom;.zip;.7z
Bandai WonderSwan-Color|.ws;.wsc;.pc2;.zip;.7z
c16|.nib;.d64;.d71;.d80;.d81;.d82;.g64;.g41;.x64;.t64;.tap;.prg;.p00;.crt;.bin;.gz;.d6z;.d7z;.d8z;.g6z;.g4z;.x6z;.cmd;.m3u;.zip;.7
CHIP-8|.bin;.cas;.ccc;.dsk;.rom;.wav;.zip;.7z;
coco3|.ch8;.sc8;.xo8;.zip;.7z;
Commodore C128|.nib;.d64;.d71;.d80;.d81;.d82;.g64;.g41;.x64;.t64;.tap;.prg;.p00;.crt;.bin;.gz;.d6z;.d7z;.d8z;.g6z;.g4z;.x6z;.cmd;.m3u;.zip;.7z
Commodore C64|.nib;.d64;.d71;.d80;.d81;.d82;.g64;.g41;.x64;.t64;.tap;.prg;.p00;.crt;.bin;.gz;.d6z;.d7z;.d8z;.g6z;.g4z;.x6z;.cmd;.m3u;.zip;.7z
Commodore CBM-II|.nib;.d64;.d71;.d80;.d81;.d82;.g64;.g41;.x64;.t64;.tap;.prg;.p00;.crt;.bin;.gz;.d6z;.d7z;.d8z;.g6z;.g4z;.x6z;.cmd;.m3u;.zip;.7z
Commodore PET|.nib;.d64;.d71;.d80;.d81;.d82;.g64;.g41;.x64;.t64;.tap;.prg;.p00;.crt;.bin;.gz;.d6z;.d7z;.d8z;.g6z;.g4z;.x6z;.cmd;.m3u;.zip;.7z
enterprise|.dsk;.128;.bas;.com;.dtf;.img;.tap;.trn;.zip;.7z
ep32|.zip
ep64|.zip
exl100|.bin;.zip;.7z
Fairchild ChannelF|.bin;.rom;.zip;.7z;.chf
famicom|.nes;.zip;.7z
GCE-Vectrex|.vec;.zip;.bin;.7z;.gam
Handheld Electronic - Game and Watch|.mgw;.zip;.7z
Java J2ME|.jar
love2d|.love
Lowres NX|.nx;.zip;.7z
Lua Engine|.lua;.lutro;.zip;;.7z
mame2003|.zip;.7z
Mattel - Intellivision|.int;.rom;.bin;.zip;.7z
Mega Duck - Cougar Boy|.bin;.zip;.7z
Megadrive MSU|.68k;.sgd;.smd;.bin;.gen;.md;.sg;.wad;.zip;.7z
Microsoft - MSX|.rom;.mx1;.mx2;.dsk;.cas;.m3u;.zip;.7z
Microsoft - MSX2|.rom;.mx1;.mx2;.dsk;.cas;.m3u;.zip;.7z
mtx|.zip
mtx512|.zip
mv|.bin
NEC PC Engine|.pce;.cue;.ccd;.sgx;.zip;.7z
NEC PC Engine CD|.cue;.ccd;.chd;.pce;.iso;.cso;.img;.zip;.7z
NEC PC Engine SuperGrafx|.pce;.sgx;.zip;.ccd;.cue;.7z;.chd;.fba
NEC PC-8000 - PC-8800 series|.d88;.u88;.m3u;.zip;.7z
NEC PC98|.d98;.98d;.fdi;.fdd;.2hd;.tfd;.d88;.88d;.hdm;.xdf;.dup;.cmd;.hdi;.thd;.nhd;.hdd;.hdn;.m3u;.zip;.7z
Nintendo N64|.n64;.v64;.z64;.bin;.u1;.ndd;.zip;.7z
Nintendo NES-Famicom|.nes;.fds;.zip;.7z
Nintendo Pokemon Mini|.min;.zip;.7z
Nintendo SNES-SFC|.smc;.sfc;.mgd;.zip;.7z;.fig;.gd3;.gd7;.dx2;.bsx;.swc;.rom
onscripter|.dat;.txt
Philips CDi|.chd;.cue;.toc;.nrg;.gdi;.iso;.cdr
PICO-8|.p8;.png;.zip;.7z
piece|.pex;.pfi;.zip;
pokemonmini|.min;.zip;.7z
puzzlescript|.pz;.pzp
RPG Maker 2000 - 2003|.easyrpg;.ldb;.zip;.7z
Sega Atomiswave Naomi|.lst;.dat;.7z;.zip;.bin
Sega Mega CD - Sega CD|.cue;.iso;.chd;.m3u;.cso;.zip;.7z
Sega Mega Drive - Genesis|.gen;.md;.smd;.bin;.zip;.7z
Sega Pico|.mdx;.md;.smd;.gen;.bin;.cue;.iso;.sms;.gg;.sg;.sgd;.68k;.chd;.zip;.7z
Sinclair ZX 81|.tzx;.p;.zip;.7z;.tap;.z80;.rzx;.scl;.trd
singe|.daphne;.7z;.zip;.rar;.squashfs;.cmd
snes-hacks|.smc;.sfc;.mgd;.zip;.bin;.7z;.bs;.fig;.swc;.gd7;.dx2;.bsx;.gd3;.gd7
snesmsu1|.sfc;.smc;.zip;.7z
SNK Neo Geo Pocket - Color|.ngp;.ngc;.ngpc;.npc;.zip;.7z
Sony Playstation Portable|.cso;.iso;.pbp;.chd;.elf;.prx
spectrum|.tzx;.tap;.z80;.rzx;.scl;.trd;.zip;.7z
Texas Instruments TI-83|.8xp;.8xk;.8xg;.zip;.7z
The 3DO Company - 3DO|.iso;.cue;.chd;.m3u
TIC-80|.tic;.zip;.7z
tigerlcd|.zip;.7z
turbografx|.pce;.cue;.chd;.sgx;.zip;.7z
turbografxcd|.pce;.cue;.ccd;.chd;.img;.iso;.zip;.7z
tvc|.cas;.zip;.7z
vg5k|.k7;.zip
vmac|.cmd;.dsk;.hvf;.img;.zip
WASM-4|.wasm;.zip;.7z
wolf|.wolf;.ecwolf


###########################################
###__ADDED On 2/5/2025 2:08:05 PM__###
p2000t|.cas
Port|.sh;.pk3;.exe;.game;.wad;.iwad;.pwad;.lmp;.7z;.map;.aba;.seq;.88;.pak;.zip;.libretro


###########################################
###__ADDED On 3/12/2025 3:55:54 PM__###
ps4|.iso;.img;.pbp;.cue;.ccd;.bin;.mdf;.cso;.ima;.nrg;.dump;.gz;.ps4;.psn;.squashfs;.m3u
