lindbergh|.game
BBC Microcomputer System|.adf;.adl;.csw;.dsd;.m3u;.ssd;.uef;.zip;.mfi;.dfi;.hfe;.mfm;.td0;.imd;.d77;.d88;.1dd;.cqm;.cqi;.dsk;.ima;.img;.ufi;.360;.ipf;.ssd;.bbc;.dsd;.adf;.ads;.adm;.adl;.fsd;.wav;.tap;.bin;.zip;.7z
bbcmicro|.adf;.adl;.csw;.dsd;.m3u;.ssd;.uef;.zip
bbc|.adf;.adl;.csw;.dsd;.m3u;.ssd;.uef;.zip;.mfi;.dfi;.hfe;.mfm;.td0;.imd;.d77;.d88;.1dd;.cqm;.cqi;.dsk;.ima;.img;.ufi;.360;.ipf;.ssd;.bbc;.dsd;.adf;.ads;.adm;.adl;.fsd;.wav;.tap;.bin;.zip;.7z
bk|.bin;.zip;.7z
c128|.d64;.d81;.prg;.lnx;.zip
c20|.a0;.b0;.crt;.d64;.d81;.prg;.tap;.t64;.zip
c64|.d64;.d71;.d80;.d81;.d82;.g64;.g41;.x64;.t64;.tap;.prg;.p00;.crt;.bin;.gz;.d6z;.d7z;.d8z;.g6z;.g4z;.x6z;.cmd;.m3u;.zip;.7z
camplynx|.wav;.tap;.zip;.7z
Camputers Lynx|.wav;.tap;.zip;.7z
cannonball|.cannonball
Capcom Play System III|.fba;.zip;.7z
Capcom Play System II|.fba;.zip;.7z
Capcom Play System|.fba;.zip;.7z
Casio Loopy|.bin;.zip;.7z
Casio PV-1000|.bin;.zip;.7z
cave3rd|.zip;.7z;.wsquashfs
cavestory|.zip;.exe;.m3u;.libretro
cave|.fba;.zip;.7z
cd-i|.chd;.cue;.toc;.nrg;.gdi;.iso;.cdr
cdimono1|.chd;.cue;.iso
cdi|.chd;.cue;.toc;.nrg;.gdi;.iso;.cdr
cgenius|.zip
chailove|.chai;.chailove;.7z;.zip
channel-f|.bin;.rom;.zip;.7z;.chf
channelf|.bin;.rom;.zip;.7z;.chf
chihiro|.xbe;.iso
coco|.wav;.cas;.ccc;.rom;.zip;.7z
Coleco ADAM|.wav;.ddp;.mfi;.dfi;.hfe;.mfm;.td0;.imd;.d77;.d88;.1dd;.cqm;.cqi;.dsk;.rom;.col;.bin;.zip;.7z
colecovision|.col;.zip;.rom
Commodore 64|.d64;.d71;.d80;.d81;.d82;.g64;.g41;.x64;.t64;.tap;.prg;.p00;.crt;.bin;.gz;.d6z;.d7z;.d8z;.g6z;.g4z;.x6z;.cmd;.m3u;.zip;.7z
Commodore Amiga CD32|.iso;.bin;.adf;.uae;.lha;.zip;.ipf;.dms;.mds;.adz;.rp9;.fdi;.cso;.cue;.ccd;.nrg;.hdf;.hdz;.m3u;.chd
Commodore Amiga|.adf;.uae;.lha;.zip;.ipf;.dms;.mds;.adz;.rp9;.fdi;.iso;.cue;.ccd;.nrg;.hdf;.m3u;.dmz;.7z
Commodore CDTV|.iso;.adf;.zip;.ipf;.dms;.mds;.adz;.rp9;.fdi;.cso;.cue;.ccd;.nrg;.hdf;.hdz;.m3u;.bin;.chd
Commodore Plus 4|.d64;.prg;.tap;.m3u;.zip;.7z
Commodore VIC-20|.a0;.b0;.crt;.d64;.d81;.prg;.tap;.t64;.zip
consolearcade|.arcadedef;.bat;.iso;.lnk;.xbe;.7z;.zip
cplus4|.d64;.prg;.tap;.m3u;.zip;.7z
cps1|.fba;.zip;.7z
cps2|.fba;.zip;.7z
cps3|.fba;.zip;.7z
creativision|.bin;.rom;.zip;.7z
crvision|.bin;.rom;.zip;.7z
daphne|.daphne;.7z;.zip;.rar;.squashfs
desktop|.bat;.lnk
devilutionx|.mpq
doom|.wad;.iwad
dos|.pc;.dos;.dosz;.squashfs;.dosbox;.zip
Dragon 32-64|.cas;.bas;.dmk;.jvc;.os9;.dsk;.vdk;.rom;.ccc;.sna;.m3u;.asc
dragon32|.cas;.bas;.dmk;.jvc;.os9;.dsk;.vdk;.rom;.ccc;.sna;.m3u;.asc
dragon|.cas;.bas;.dmk;.jvc;.os9;.dsk;.vdk;.rom;.ccc;.sna;.m3u;.asc
dreamcast|.gdi;.cdi;.chd;.m3u;.mds;.mdf;.cue
dreamcastjp|.gdi;.cdi;.chd;.m3u;.mds;.mdf;.cue
EACA EG2000 Colour Genie|.bin;.zip;.7z
easyrpg|.easyrpg;.zip;.ini;.lbd;.7z;.rar;.squashfs
ecwolf|.ecwolf;.pk3;.squashfs
electron|.wav;.csw;.uef;.mfi;.dfi;.hfe;.mfm;.td0;.imd;.d77;.d88;.1dd;.cqm;.cqi;.dsk;.ssd;.bbc;.img;.dsd;.adf;.ads;.adm;.adl;.rom;.bin;.zip;.7z
Elektronika BK|.bin;.zip;.7z
Emerson Arcadia 2001|.bin;.zip;.7z
emulators|.bat;.lnk
Entex Adventure Vision|.bin;.zip;.7z
Epoch Game Pocket Computer|.bin;.zip;.7z
Epoch Super Cassette Vision|.bin;.sv;.zip;.7z
Exelvision EXL 100|.bin;.zip;.7z
Fairchild Channel F|.bin;.rom;.zip;.7z;.chf
fba_libretro|.7z;.zip;.fba
fba|.7z;.fba;.zip;.chd
fbneo|.7z;.fba;.zip;.iso
fds|.fds;.zip;.7z
flash|.swf
flatpak|.flatpak
fm-7|.wav;.t77;.mfi;.dfi;.hfe;.mfm;.td0;.imd;.d77;.d88;.1dd;.cqm;.cqi;.dsk;.zip;.7z
fm7|.wav;.t77;.mfi;.dfi;.hfe;.mfm;.td0;.imd;.d77;.d88;.1dd;.cqm;.cqi;.dsk;.zip;.7z
fmtmarty|.bin;.m3u;.cue;.d88;.d77;.xdf;.iso;.game
fmtowns|.bin;.m3u;.cue;.d88;.d77;.xdf;.iso;.game
fpinball|.fpt
Fujitsu FM-7|.wav;.t77;.mfi;.dfi;.hfe;.mfm;.td0;.imd;.d77;.d88;.1dd;.cqm;.cqi;.dsk;.zip;.7z
Funtech Super Acan|.bin;.zip;.7z
gaelco|.zip;.7z;.wsquashfs
nesicax|.wsquashfs
nesicax2|.wsquashfs
typex|.wsquashfs
typex2|.wsquashfs
segarw|.wsquashfs
segare|.wsquashfs
rawthrills|.wsquashfs
konamipc|.wsquashfs
segaalls|.wsquashfs
segaer|.wsquashfs
seganu|.wsquashfs
adrenaline|.wsquashfs
unis|.wsquashfs
gamate|.bin;.zip;.7z
Game & Watch|.mgw;.zip;.7z
gameandwatch|.mgw;.zip;.7z
gamecom|.bin;.tgc;.zip;.7z
gamecube|.iso;.gc;.gcz;.gcm;.rvz;.ciso;.cso;.m3u;.elf;.dol;.wbfs
gamegear|.gg;.zip;.7z;.bin
gamepock|.bin;.zip;.7z
gb2players|.zip;.gb;.7z;.gbc2
gba|.zip;.gba;.7z
gbc2players|.gb;.gbc;.zip;.7z;.gbc2
gbc|.gb;.gbc;.zip;.7z
gb|.zip;.gb;.7z
GCE Vectrex|.vec;.zip;.bin;.7z;.gam
gc|.elf;.dol;.gcm;.iso;.wbfs;.ciso;.cso;.gcz;.wad;.rvz;.m3u;.gc
genesis|.gen;.md;.smd;.bin;.zip;.7z
gmaster|.bin;.zip;.7z
gp32|.smc;.zip;.7z
gw|.mgw;.zip;.7z
gx4000|.cpr;.m3u;.zip;.7z;.dsk
